release_path,original_path,classification,origin_project,original_author_or_copyright,license,spdx,modified_by_le_sun,include,reason,sha256_original,sha256_release,notes
docs/audits/VITIS_MACSEC_SIMULATION_COVERAGE_AUDIT_20260806_210353.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITIS_MACSEC_SIMULATION_COVERAGE_AUDIT_20260806_210353.md,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,f7ff707c194a5fca50b61ce9bfc6fbc0c79fdc981063d4998f56859882f8d14e,c2d711ea8b6ce655e9d0f9c643860cd97b0c334320b59093f298caa57202a89b,Paths normalized; timestamps preserved
docs/audits/VITIS_MACSEC_SIMULATION_COVERAGE_MATRIX_20260806_210353.csv,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITIS_MACSEC_SIMULATION_COVERAGE_MATRIX_20260806_210353.csv,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,ce1704903d7be5ebddc533235eb4069322c063bebdb278cc16a17761750a5a15,b696e67bbc076f9943f37e9778b0a8d3ddca69bcef76f99d113ae506d28efc83,Paths normalized; timestamps preserved
docs/audits/VITS_MACSEC_10G_RECOVERY_AUDIT_20260806_205045.json,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITS_MACSEC_10G_RECOVERY_AUDIT_20260806_205045.json,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,b25e166474b59013615a403801945f814c08e354c3d287f423ad91b470857b71,ae89d554cb0ef441511d3ab3f2f54c4f8322bf90e9db69868e5c2ec637224950,Paths normalized; timestamps preserved
docs/audits/VITS_MACSEC_10G_RECOVERY_AUDIT_20260806_205045.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/reports/VITS_MACSEC_10G_RECOVERY_AUDIT_20260806_205045.md,DOCUMENTATION_ORIGINAL,VITIS_MACSEC audits (2026-08-06),Le Sun (audit),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Publication-sanitized copy of the original read-only audit; conclusions unchanged,05a3e376dea2fd5c6383b651bc54bc4bfe11f98eee4fe2d6082d39ccff8b7aaf,66b0b0dbb5794952124925d82728ea1d23a987dc0d41db4335533e1ca72978ad,Paths normalized; timestamps preserved
docs/engineering_log/CODEX_CHANGELOG.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/CODEX_CHANGELOG.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,6eba455ab9cdd61c58f8e853d54ba2464cd13d28455436d08364bd75661ed94a,162d164ec13cd7d00f153b901d28e54435aaf793da4bc5d58f37d6e3a6e8bec8,Conclusions unchanged
docs/engineering_log/MACSEC_BOARD_TEST_PLAN_2026-04-22.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_BOARD_TEST_PLAN_2026-04-22.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,a4c49482031d2160b0b834214d948f54ccfb983117ee1908280b715dc5a3ad5a,a4c49482031d2160b0b834214d948f54ccfb983117ee1908280b715dc5a3ad5a,Conclusions unchanged
docs/engineering_log/MACSEC_COCOTB_INTEGRATION_PLAN.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_COCOTB_INTEGRATION_PLAN.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,9bcfc186421818e812cab9faab028e83f5d78038946f6c539d7cb7035e055791,9bcfc186421818e812cab9faab028e83f5d78038946f6c539d7cb7035e055791,Conclusions unchanged
docs/engineering_log/MACSEC_GATE0_3_EXECUTION_2026-04-22.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE0_3_EXECUTION_2026-04-22.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,ba18ecd7d5b45f7d6a4f3fa5d6d9dfcf5f4f1b933b0fb2e0c0412a2ab1b0e613,c6e427fb1df5b651d21b8d36a5406a0fc35ff30b43698d49f1ab43b5bc5dedf0,Conclusions unchanged
docs/engineering_log/MACSEC_GATE0_3_EXECUTION_2026-04-22_R2.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE0_3_EXECUTION_2026-04-22_R2.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,1fdd62fb8b4173b970f4ce22c18abab2261c2bd5d8273d8971b79a8435d813b2,d2672e3bbb520bd08a1dec19792f1f7bf32cd08ee10279d4d34c1438bfa68424,Conclusions unchanged
docs/engineering_log/MACSEC_GATE0_3_EXECUTION_2026-04-22_R3.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE0_3_EXECUTION_2026-04-22_R3.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,6f5758527201ea94c2284d2f1dc2ea6049edcf31c57bd472e9f89c22845a3210,ff774ecc85211ee9d49b7a7e579cdb10887e89a4b9fc169345722599684497ab,Conclusions unchanged
docs/engineering_log/MACSEC_GATE0_3_EXECUTION_2026-04-23_R3.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE0_3_EXECUTION_2026-04-23_R3.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,9aa0823d07e64fa2f782da0f244e9a888af0b4a263030a2312e3f7f982ecd87f,5cc7df6abb7061ae2f9c8808d68b99c3c12c0bf7be876b850923dc4ecec5d89c,Conclusions unchanged
docs/engineering_log/MACSEC_GATE2_EXECUTION_2026-04-24_R4.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE2_EXECUTION_2026-04-24_R4.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,a7429ba655f9a35b3964bda392cab33c0a2741429eddf7df09cf9b6f86c59f2d,a7429ba655f9a35b3964bda392cab33c0a2741429eddf7df09cf9b6f86c59f2d,Conclusions unchanged
docs/engineering_log/MACSEC_GATE2_SMALL_PKTS_PLAN_2026-04-22_R3.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_GATE2_SMALL_PKTS_PLAN_2026-04-22_R3.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,7dc12991da1e3790255de7730d027ee0f5529bc61000a36d4a7f78fb68f1eb67,6d13e60ebbb7cdc915a70ef88cd807c9077707a3af40c050b01dc57d753bf189,Conclusions unchanged
docs/engineering_log/MACSEC_R4_DEBUG_EXECUTION_2026-04-23.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_R4_DEBUG_EXECUTION_2026-04-23.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,6911bf336c522d033a900e5744d7ec02b9b7c1b260bc8a0ade69b8287a902fa1,40eb575e4090dd261103259ab458648bb892c46aec484da46afd507660acdc97,Conclusions unchanged
docs/engineering_log/MACSEC_R5_DEBUG_EXECUTION_2026-04-23.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_R5_DEBUG_EXECUTION_2026-04-23.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,6b30725632b28fdc1cb5936662324f47cbb08a533124431886eb6253d9d2d3c9,6b30725632b28fdc1cb5936662324f47cbb08a533124431886eb6253d9d2d3c9,Conclusions unchanged
docs/engineering_log/MACSEC_R6_DEBUG_EXECUTION_2026-04-23.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_R6_DEBUG_EXECUTION_2026-04-23.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,eccb163bb4c2bc73539bc59014e99fe8516ce4491b45064657b7ed7e5e8b9b51,eccb163bb4c2bc73539bc59014e99fe8516ce4491b45064657b7ed7e5e8b9b51,Conclusions unchanged
docs/engineering_log/MACSEC_R7_DEBUG_EXECUTION_2026-04-24.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/MACSEC_R7_DEBUG_EXECUTION_2026-04-24.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,8785f9c6a67ec99d57893e56149703fc6aa2a352188c4d92bff3053a0638291a,8785f9c6a67ec99d57893e56149703fc6aa2a352188c4d92bff3053a0638291a,Conclusions unchanged
docs/engineering_log/PHY_LAYER_DIAGNOSIS_2026-04-21.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/PHY_LAYER_DIAGNOSIS_2026-04-21.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,7f1f71376e6e45430f939f41334a82b07b581a02c144387aafb1bed4dd1d3b8a,bde6f326494f67f2cc865ba16c2643a6652006306ee704fe44d82ed59f425994,Conclusions unchanged
docs/engineering_log/TIMING_REPRO_说明.md,<home>/workspace/mqnic_gcm_codex-2-v2-2.75gbps/mqnic_gcm_codex-2/TIMING_REPRO_说明.md,DOCUMENTATION_ORIGINAL,mqnic_gcm_codex-2 (project),Le Sun (engineering records),BSD-2-Clause,BSD-2-Clause,n/a (author),True,Original engineering record; paths sanitized for publication,6126cff6c3bebace50d19f873639ba660fc03f65c8ded4b3c8ccc8e350d197f3,c555320bc00598ef971c30a0eaa34786a2ad48dc4639a92edfead33018a8c70a,Conclusions unchanged
